,book,chapter,length,spell,synon,style,eos
0,Harry Potter and the Philosopher s Stone,The Boy Who Lived,33846,0,0,23,1
1,Harry Potter and the Philosopher s Stone,The Vanishing Glass,24994,0,0,24,0
2,Harry Potter and the Philosopher s Stone,The Letters from No One,28189,0,0,26,0
3,Harry Potter and the Philosopher s Stone,The Keeper of the Keys,27382,0,0,7,0
4,Harry Potter and the Philosopher s Stone,Diagon Alley,49598,0,0,40,1
5,Harry Potter and the Philosopher s Stone,Quarters,46744,0,0,48,0
6,Harry Potter and the Philosopher s Stone,The Sorting Hat,32957,0,0,20,0
7,Harry Potter and the Philosopher s Stone,The Potions Master,22159,0,0,18,0
8,Harry Potter and the Philosopher s Stone,The Midnight Duel,37178,0,0,27,0
9,Harry Potter and the Philosopher s Stone,Hallowe’en,31765,0,0,31,0
10,Harry Potter and the Philosopher s Stone,Quidditch,25025,0,0,27,2
11,Harry Potter and the Philosopher s Stone,The Mirror of Erised,40567,0,0,35,0
12,Harry Potter and the Philosopher s Stone,Nicolas Flamel,24202,0,0,30,0
13,Harry Potter and the Philosopher s Stone,Norbert the Norwegian Ridgeback,26213,0,0,22,0
14,Harry Potter and the Philosopher s Stone,The Forbidden Forest,38770,0,0,26,1
15,Harry Potter and the Philosopher s Stone,Through the Trapdoor,48427,0,0,29,0
16,Harry Potter and the Philosopher s Stone,The Man with Two Faces,40801,0,0,19,1
17,Harry Potter and the Chamber of Secrets,The Worst Birthday,19030,0,0,18,0
18,Harry Potter and the Chamber of Secrets,Dobby’s Warning,21464,0,0,9,1
19,Harry Potter and the Chamber of Secrets,The Burrow,33017,0,0,33,1
20,Harry Potter and the Chamber of Secrets,At Flourish and Blotts,42677,0,0,39,0
21,Harry Potter and the Chamber of Secrets,The Whomping Willow,39742,0,0,31,4
22,Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,33972,0,0,29,0
23,Harry Potter and the Chamber of Secrets,Mudbloods and Murmurs,35060,0,0,31,0
24,Harry Potter and the Chamber of Secrets,The Deathday Party,33399,0,0,35,1
25,Harry Potter and the Chamber of Secrets,The Writing on the Wall,39160,0,0,33,1
26,Harry Potter and the Chamber of Secrets,The Rogue Bludger,39675,0,0,24,3
27,Harry Potter and the Chamber of Secrets,The Duelling Club,45362,0,0,42,3
28,Harry Potter and the Chamber of Secrets,The Polyjuice Potion,41160,0,0,37,1
29,Harry Potter and the Chamber of Secrets,The Very Secret Diary,41481,0,0,30,2
30,Harry Potter and the Chamber of Secrets,Cornelius Fudge,30197,0,0,22,1
31,Harry Potter and the Chamber of Secrets,Aragog,34640,0,0,29,4
32,Harry Potter and the Chamber of Secrets,The Chamber of Secrets,43098,0,0,29,4
33,Harry Potter and the Chamber of Secrets,The Heir of Slytherin,41232,0,0,30,11
34,Harry Potter and the Chamber of Secrets,Dobby’s Reward,28392,0,0,23,5
35,Harry Potter and the Prisoner of Azkaban,Owl Post,26991,0,0,37,2
36,Harry Potter and the Prisoner of Azkaban,Aunt Marge’s Big Mistake,28943,0,0,24,0
37,Harry Potter and the Prisoner of Azkaban,The Knight Bus,33222,0,0,26,3
38,Harry Potter and the Prisoner of Azkaban,The Leaky Cauldron,38534,0,0,40,2
39,Harry Potter and the Prisoner of Azkaban,The Dementor,50019,0,0,58,4
40,Harry Potter and the Prisoner of Azkaban,Talons and Tea Leaves,51058,0,0,60,5
41,Harry Potter and the Prisoner of Azkaban,The Boggart in the Wardrobe,32917,0,0,28,3
42,Harry Potter and the Prisoner of Azkaban,Flight of the Fat Lady,39015,0,0,28,0
43,Harry Potter and the Prisoner of Azkaban,Grim Defeat,40040,0,0,40,0
44,Harry Potter and the Prisoner of Azkaban,The Marauder’s Map,53938,0,0,45,1
45,Harry Potter and the Prisoner of Azkaban,The Firebolt,42873,0,0,28,1
46,Harry Potter and the Prisoner of Azkaban,The Patronus,36644,0,0,33,4
47,Harry Potter and the Prisoner of Azkaban,Gryffindor versus Ravenclaw,32085,0,0,46,1
48,Harry Potter and the Prisoner of Azkaban,Snape’s Grudge,41815,0,0,39,1
49,Harry Potter and the Prisoner of Azkaban,The Quidditch Final,42560,0,0,60,1
50,Harry Potter and the Prisoner of Azkaban,Professor Trelawney’s Prediction,33534,0,0,29,1
51,Harry Potter and the Prisoner of Azkaban,"Cat, Rat and Dog",31687,0,0,34,6
52,Harry Potter and the Prisoner of Azkaban,"Moony, Wormtail, Padfoot and Prongs",16986,0,0,14,0
53,Harry Potter and the Prisoner of Azkaban,The Servant of Lord Voldemort,38661,0,0,27,5
54,Harry Potter and the Prisoner of Azkaban,The Dementor’s Kiss,14767,0,0,24,2
55,Harry Potter and the Prisoner of Azkaban,Hermione’s Secret,56054,0,0,33,12
56,Harry Potter and the Prisoner of Azkaban,Owl Post Again,36661,0,0,38,5
57,Harry Potter and the Goblet of Fire,The Riddle House,30021,0,0,35,0
58,Harry Potter and the Goblet of Fire,The Scar,20414,0,0,21,1
59,Harry Potter and the Goblet of Fire,The Invitation,23321,0,0,22,1
60,Harry Potter and the Goblet of Fire,Back to The Burrow,22755,0,0,9,0
61,Harry Potter and the Goblet of Fire,Weasleys’ Wizard Wheezes,28041,0,0,30,1
62,Harry Potter and the Goblet of Fire,The Portkey,17778,0,0,17,0
63,Harry Potter and the Goblet of Fire,Bagman and Crouch,39568,0,0,39,0
64,Harry Potter and the Goblet of Fire,The Quidditch World Cup,43817,0,0,104,1
65,Harry Potter and the Goblet of Fire,The Dark Mark,54265,0,0,47,2
66,Harry Potter and the Goblet of Fire,Mayhem at the Ministry,24038,0,0,26,1
67,Harry Potter and the Goblet of Fire,Aboard the Hogwarts Express,24758,0,0,16,1
68,Harry Potter and the Goblet of Fire,The Triwizard Tournament,41457,0,0,34,1
69,Harry Potter and the Goblet of Fire,Eye Moody,29993,0,0,14,2
70,Harry Potter and the Goblet of Fire,The Unforgivable Curses,36759,0,0,19,0
71,Harry Potter and the Goblet of Fire,Beauxbatons and Durmstrang,39308,0,0,36,1
72,Harry Potter and the Goblet of Fire,The Goblet of Fire,46494,0,0,36,2
73,Harry Potter and the Goblet of Fire,The Four Champions,31259,0,0,10,0
74,Harry Potter and the Goblet of Fire,The Weighing of the Wands,49797,0,0,23,0
75,Harry Potter and the Goblet of Fire,The Hungarian Horntail,47189,0,0,33,2
76,Harry Potter and the Goblet of Fire,The First Task,52074,0,0,38,0
77,Harry Potter and the Goblet of Fire,Elf Liberation Front,42126,0,0,25,1
78,Harry Potter and the Goblet of Fire,The Unexpected Task,33640,0,0,17,0
79,Harry Potter and the Goblet of Fire,The Yule Ball,61465,0,0,43,3
80,Harry Potter and the Goblet of Fire,Rita Skeeter’s Scoop,47869,0,0,39,3
81,Harry Potter and the Goblet of Fire,The Egg and the Eye,41149,0,0,37,3
82,Harry Potter and the Goblet of Fire,The Second Task,58761,0,0,60,3
83,Harry Potter and the Goblet of Fire,Padfoot Returns,52459,0,0,61,0
84,Harry Potter and the Goblet of Fire,The Madness of Mr Crouch,56328,0,0,58,1
85,Harry Potter and the Goblet of Fire,The Dream,33022,0,0,34,0
86,Harry Potter and the Goblet of Fire,The Pensieve,47822,0,0,49,0
87,Harry Potter and the Goblet of Fire,The Third Task,59044,0,0,54,1
88,Harry Potter and the Goblet of Fire,"Flesh, Blood and Bone",14717,0,0,12,0
89,Harry Potter and the Goblet of Fire,The Death Eaters,29176,0,0,15,0
90,Harry Potter and the Goblet of Fire,Priori Incantatem,20508,0,0,23,2
91,Harry Potter and the Goblet of Fire,Veritaserum,44655,0,0,30,1
92,Harry Potter and the Goblet of Fire,The Parting of the Ways,46651,0,0,31,0
93,Harry Potter and the Goblet of Fire,The Beginning,37363,0,0,27,0
94,Harry Potter and the Order of the Phoenix,Dudley Demented,42917,0,0,68,14
95,Harry Potter and the Order of the Phoenix,A Peck of Owls,46331,0,0,88,5
96,Harry Potter and the Order of the Phoenix,The Advance Guard,39267,0,0,69,3
97,Harry Potter and the Order of the Phoenix,"Number Twelve, Grimmauld Place",43075,0,0,38,2
98,Harry Potter and the Order of the Phoenix,The Order of the Phoenix,41068,0,0,67,6
99,Harry Potter and the Order of the Phoenix,The Noble and Most Ancient House of Black,50316,0,0,64,4
100,Harry Potter and the Order of the Phoenix,The Ministry of Magic,34076,0,0,65,7
101,Harry Potter and the Order of the Phoenix,The Hearing,31817,0,0,52,0
102,Harry Potter and the Order of the Phoenix,The Woes of Mrs Weasley,60367,0,0,66,7
103,Harry Potter and the Order of the Phoenix,Luna Lovegood,44108,0,0,53,0
104,Harry Potter and the Order of the Phoenix,The Sorting Hat’s New Song,44513,0,0,36,1
105,Harry Potter and the Order of the Phoenix,Professor Umbridge,63600,0,0,89,7
106,Harry Potter and the Order of the Phoenix,Detention with Dolores,66028,0,0,88,2
107,Harry Potter and the Order of the Phoenix,Percy and Padfoot,59906,0,0,75,8
108,Harry Potter and the Order of the Phoenix,The Hogwarts High Inquisitor,52504,0,0,70,2
109,Harry Potter and the Order of the Phoenix,In the Hog’s Head,44000,0,0,59,3
110,Harry Potter and the Order of the Phoenix,Four,50214,0,0,58,10
111,Harry Potter and the Order of the Phoenix,Dumbledore’s Army,51232,0,0,63,18
112,Harry Potter and the Order of the Phoenix,The Lion and the Serpent,49339,0,0,66,10
113,Harry Potter and the Order of the Phoenix,Hagrid’s Tale,46280,0,0,54,3
114,Harry Potter and the Order of the Phoenix,The Eye of the Snake,54795,0,0,64,14
115,Harry Potter and the Order of the Phoenix,St Mungo’s Hospital for Magical Maladies and Injuries,59391,0,0,113,12
116,Harry Potter and the Order of the Phoenix,Christmas on the Closed Ward,55100,0,0,102,16
117,Harry Potter and the Order of the Phoenix,Occlumency,59693,0,0,87,14
118,Harry Potter and the Order of the Phoenix,The Beetle at Bay,60178,0,0,101,11
119,Harry Potter and the Order of the Phoenix,Seen and Unforeseen,62287,0,0,110,9
120,Harry Potter and the Order of the Phoenix,The Centaur and the Sneak,56612,0,0,88,13
121,Harry Potter and the Order of the Phoenix,Snape’s Worst Memory,59746,0,0,99,19
122,Harry Potter and the Order of the Phoenix,Careers Advice,55675,0,0,56,7
123,Harry Potter and the Order of the Phoenix,Grawp,61526,0,0,107,12
124,Harry Potter and the Order of the Phoenix,O.W.L.s,58544,0,0,123,16
125,Harry Potter and the Order of the Phoenix,Out of the Fire,46884,0,0,54,6
126,Harry Potter and the Order of the Phoenix,Fight and Flight,28779,0,0,33,13
